,Gene,Ensembl,gene,pvalue,padj
13121,RAB43,ENSG00000172780,ENSG00000172780,0.000162974985103,0.000727656536413
8386,VPS54,ENSG00000143952,ENSG00000143952,0.00016311601224,0.000728099315604
4817,HS1BP3,ENSG00000118960,ENSG00000118960,0.000163324903244,0.00072884471317
11020,UBXN7,ENSG00000163960,ENSG00000163960,0.000163431888194,0.000729135084674
7376,THAP12,ENSG00000137492,ENSG00000137492,0.000164067391887,0.00073178263638
16166,HLA-DRB1,ENSG00000196126,ENSG00000196126,0.00016417827267,0.000732089477851
8603,FAM105A,ENSG00000145569,ENSG00000145569,0.000164264254811,0.000732285164641
1702,ACOX3,ENSG00000087008,ENSG00000087008,0.000164403824044,0.000732719579618
16873,TOGARAM1,ENSG00000198718,ENSG00000198718,0.000164883049879,0.000734479040369
15716,CIDEC,ENSG00000187288,ENSG00000187288,0.000164848911981,0.000734479040369
2866,ZFAND1,ENSG00000104231,ENSG00000104231,0.000165079351266,0.000735165211281
3081,CNFN,ENSG00000105427,ENSG00000105427,0.000166256278818,0.000740217038658
796,TARBP1,ENSG00000059588,ENSG00000059588,0.000166391707989,0.000740630440244
16699,ZNF667,ENSG00000198046,ENSG00000198046,0.000166708870299,0.000741852340459
4331,DNAJC27,ENSG00000115137,ENSG00000115137,0.000166796836021,0.000742053954624
15900,COMMD6,ENSG00000188243,ENSG00000188243,0.000166848950335,0.000742096008968
106,ITGAL,ENSG00000005844,ENSG00000005844,0.000166949933133,0.000742355339176
775,USP13,ENSG00000058056,ENSG00000058056,0.000167279761678,0.000743631856477
1035,GPKOW,ENSG00000068394,ENSG00000068394,0.000167781417474,0.000745671373776
9058,SESN3,ENSG00000149212,ENSG00000149212,0.000168108828161,0.000746935649005
5099,ADCY7,ENSG00000121281,ENSG00000121281,0.000168258336549,0.000747409030711
5456,SNRNP27,ENSG00000124380,ENSG00000124380,0.000168347853332,0.000747615754076
17323,ZNF783,ENSG00000204946,ENSG00000204946,0.00016867451418,0.000748875235878
3820,ITFG2,ENSG00000111203,ENSG00000111203,0.000169513035313,0.000752406034518
11671,ST5,ENSG00000166444,ENSG00000166444,0.000169629587406,0.000752731294115
7709,NEDD1,ENSG00000139350,ENSG00000139350,0.000170456103214,0.000756206048307
11732,ACSM1,ENSG00000166743,ENSG00000166743,0.000170850589495,0.00075773037198
7810,JDP2,ENSG00000140044,ENSG00000140044,0.000170886820884,0.00075773037198
11834,URM1,ENSG00000167118,ENSG00000167118,0.000171306398063,0.000759397246253
4079,ERBIN,ENSG00000112851,ENSG00000112851,0.000172012113344,0.000762331391495
322,MAP4K5,ENSG00000012983,ENSG00000012983,0.00017289771279,0.000766061058068
15671,TEAD1,ENSG00000187079,ENSG00000187079,0.000173094918765,0.000766544325842
15081,SLIT3,ENSG00000184347,ENSG00000184347,0.000173059700971,0.000766544325842
8803,ZNF182,ENSG00000147118,ENSG00000147118,0.000173244316638,0.000767008514522
6242,PRRC2B,ENSG00000130723,ENSG00000130723,0.000173287925385,0.000767008514522
6056,SLC44A2,ENSG00000129353,ENSG00000129353,0.000173395133204,0.000767287800071
262,IDS,ENSG00000010404,ENSG00000010404,0.00017457267109,0.000772302038049
10052,COLEC12,ENSG00000158270,ENSG00000158270,0.000174816019597,0.000773181963105
11400,FBXO33,ENSG00000165355,ENSG00000165355,0.000175051353492,0.00077402600254
3382,UBE2R2,ENSG00000107341,ENSG00000107341,0.000175401343715,0.00077537646097
8178,ITGB3BP,ENSG00000142856,ENSG00000142856,0.000175985524505,0.00077776122936
13808,LRRC37A3,ENSG00000176809,ENSG00000176809,0.000176766561475,0.000781014563593
2025,SORBS1,ENSG00000095637,ENSG00000095637,0.000177015256616,0.000781853849059
17816,VPS16,ENSG00000215305,ENSG00000215305,0.000177046410546,0.000781853849059
16724,LPAR1,ENSG00000198121,ENSG00000198121,0.000177190939633,0.000782094999977
8683,PLA2G7,ENSG00000146070,ENSG00000146070,0.00017715711841,0.000782094999977
15612,ZSCAN30,ENSG00000186814,ENSG00000186814,0.000177262658084,0.000782213073914
17062,PCMTD2,ENSG00000203880,ENSG00000203880,0.000177435330591,0.000782776458441
10613,USP1,ENSG00000162607,ENSG00000162607,0.000177812177942,0.000784240069803
14885,SF3A3,ENSG00000183431,ENSG00000183431,0.000178025863416,0.000784983496609
15241,FAF1,ENSG00000185104,ENSG00000185104,0.000178264743938,0.000785837612977
12085,KCNJ4,ENSG00000168135,ENSG00000168135,0.00017848331035,0.000786601769328
9138,FAU,ENSG00000149806,ENSG00000149806,0.000178760244858,0.000787622710055
7921,NLRC5,ENSG00000140853,ENSG00000140853,0.000178890907932,0.000787998820836
536,MFAP3,ENSG00000037749,ENSG00000037749,0.000179411398093,0.000790091460717
13999,MAMDC4,ENSG00000177943,ENSG00000177943,0.000179537569047,0.000790446978886
6381,UBE2D2,ENSG00000131508,ENSG00000131508,0.0001801337144,0.000792870941799
16579,ZNF615,ENSG00000197619,ENSG00000197619,0.000180195943206,0.000792944202395
8950,RPL7A,ENSG00000148303,ENSG00000148303,0.000180662647751,0.000794595893207
9652,CHODL,ENSG00000154645,ENSG00000154645,0.000180651069558,0.000794595893207
2761,FOXF1,ENSG00000103241,ENSG00000103241,0.000182620541983,0.000803004127351
7537,ZNF365,ENSG00000138311,ENSG00000138311,0.000182915030495,0.000804095768374
15356,UBE2L3,ENSG00000185651,ENSG00000185651,0.000183334246764,0.000805735023359
10381,PTH1R,ENSG00000160801,ENSG00000160801,0.000183490057313,0.000806216101783
15011,COA3,ENSG00000183978,ENSG00000183978,0.000183792815937,0.00080734243263
17982,TMEM233,ENSG00000224982,ENSG00000224982,0.000183903581093,0.000807625042442
29,SNX11,ENSG00000002919,ENSG00000002919,0.000185598567502,0.00081465735092
9339,TMEM267,ENSG00000151881,ENSG00000151881,0.000185595735212,0.00081465735092
9746,RBM45,ENSG00000155636,ENSG00000155636,0.000185697797163,0.000814887280941
5773,ZNF384,ENSG00000126746,ENSG00000126746,0.000185874438388,0.000815456710154
9853,FAM122B,ENSG00000156504,ENSG00000156504,0.000185985110774,0.000815736510821
2096,MARCH2,ENSG00000099785,ENSG00000099785,0.000186207625049,0.000816506588789
2470,HM13,ENSG00000101294,ENSG00000101294,0.000186452175045,0.000817372879259
16150,BLOC1S2,ENSG00000196072,ENSG00000196072,0.000186516029912,0.000817446797762
2420,STK4,ENSG00000101109,ENSG00000101109,0.000186732784774,0.000818190627494
7625,FRAS1,ENSG00000138759,ENSG00000138759,0.000186789310427,0.000818232197147
15625,QRFPR,ENSG00000186867,ENSG00000186867,0.000187375014583,0.0008205912333
748,CCDC85A,ENSG00000055813,ENSG00000055813,0.000187442447772,0.000820675522665
14981,CCR4,ENSG00000183813,ENSG00000183813,0.000187488618975,0.000820675522665
8089,IFITM3,ENSG00000142089,ENSG00000142089,0.000187752543582,0.000821624024051
763,DCBLD2,ENSG00000057019,ENSG00000057019,0.000187948502922,0.000822274700284
16030,RPL14,ENSG00000188846,ENSG00000188846,0.000188442767546,0.000824022609718
897,SBNO2,ENSG00000064932,ENSG00000064932,0.000188408264716,0.000824022609718
2478,CCM2L,ENSG00000101331,ENSG00000101331,0.000188827598983,0.000825497884973
144,GGCT,ENSG00000006625,ENSG00000006625,0.000189285220243,0.000827290554304
16894,RPL10A,ENSG00000198755,ENSG00000198755,0.000189578627091,0.0008283647873
11461,PRPF18,ENSG00000165630,ENSG00000165630,0.000189632026465,0.000828390030227
11238,FABP5,ENSG00000164687,ENSG00000164687,0.000190093456892,0.00083019725901
12173,FNTA,ENSG00000168522,ENSG00000168522,0.000191291517166,0.000835010273804
11168,FOXQ1,ENSG00000164379,ENSG00000164379,0.000191267856388,0.000835010273804
13489,PTDSS2,ENSG00000174915,ENSG00000174915,0.000192153526784,0.000838562618769
6054,KRI1,ENSG00000129347,ENSG00000129347,0.000192267902775,0.000838851308949
16284,NCOR2,ENSG00000196498,ENSG00000196498,0.000192490944949,0.000839613838361
2810,TMC5,ENSG00000103534,ENSG00000103534,0.000193048393334,0.000841834244685
7571,DIRC2,ENSG00000138463,ENSG00000138463,0.000193098543443,0.000841841895535
6867,DHX34,ENSG00000134815,ENSG00000134815,0.000193469059434,0.000843245875435
4682,CNN3,ENSG00000117519,ENSG00000117519,0.000194035964099,0.000845293161909
14262,MAF1,ENSG00000179632,ENSG00000179632,0.000193992409275,0.000845293161909
470,ARNTL2,ENSG00000029153,ENSG00000029153,0.000194344295048,0.000846424389673
54,RECQL,ENSG00000004700,ENSG00000004700,0.000195161504214,0.000849732652074
16937,ZNF277,ENSG00000198839,ENSG00000198839,0.000195201591129,0.000849732652074
3836,DUSP16,ENSG00000111266,ENSG00000111266,0.000195287731052,0.000849894941617
6419,ZSCAN5A,ENSG00000131848,ENSG00000131848,0.000195999607558,0.000852779683209
3623,AREG,ENSG00000109321,ENSG00000109321,0.000196175394405,0.000853331079191
16909,MTOR,ENSG00000198793,ENSG00000198793,0.000196435341025,0.000853967062449
5704,EIF2S2,ENSG00000125977,ENSG00000125977,0.000196468880938,0.000853967062449
1763,DOCK9,ENSG00000088387,ENSG00000088387,0.000196452801251,0.000853967062449
3087,GRIN2D,ENSG00000105464,ENSG00000105464,0.000197256331399,0.00085717558948
11921,ZNF610,ENSG00000167554,ENSG00000167554,0.000198231011609,0.000861195915817
14935,TRMT12,ENSG00000183665,ENSG00000183665,0.000198850938194,0.000863673425688
5084,TRIM25,ENSG00000121060,ENSG00000121060,0.000200059781867,0.000868706916022
5995,TWSG1,ENSG00000128791,ENSG00000128791,0.000200143997539,0.000868855711801
8427,THSD7B,ENSG00000144229,ENSG00000144229,0.000200827095397,0.000871603623859
1016,PDZD4,ENSG00000067840,ENSG00000067840,0.000201018741972,0.000872217764182
15740,PRAMEF10,ENSG00000187545,ENSG00000187545,0.000201172438864,0.000872666976071
8273,ADAMTSL4,ENSG00000143382,ENSG00000143382,0.000201825288256,0.000875280700377
15573,NF2,ENSG00000186575,ENSG00000186575,0.000202157505725,0.000876502944187
7167,ADAMTS7,ENSG00000136378,ENSG00000136378,0.000202263270904,0.000876742984642
12654,POLH,ENSG00000170734,ENSG00000170734,0.000202363370865,0.000876958354806
3889,USP5,ENSG00000111667,ENSG00000111667,0.000202485777307,0.000877270260587
13648,RUVBL1,ENSG00000175792,ENSG00000175792,0.000202564163107,0.000877391338955
4506,PAPPA2,ENSG00000116183,ENSG00000116183,0.00020287239263,0.000878507659895
3469,LGI1,ENSG00000108231,ENSG00000108231,0.000202939726519,0.000878580523343
4116,PDE8B,ENSG00000113231,ENSG00000113231,0.000203513929906,0.000880628062366
14498,TMEM132E,ENSG00000181291,ENSG00000181291,0.000203486013247,0.000880628062366
13507,FBXW8,ENSG00000174989,ENSG00000174989,0.000203633302229,0.000880925464381
16696,ZNF273,ENSG00000198039,ENSG00000198039,0.000204147324807,0.000882929566141
6326,COX4I1,ENSG00000131143,ENSG00000131143,0.000204413786906,0.000883862247882
3194,ZC3HAV1,ENSG00000105939,ENSG00000105939,0.00020487610719,0.000885641124395
16362,CD47,ENSG00000196776,ENSG00000196776,0.000205280522359,0.000887168866196
14691,EXOC7,ENSG00000182473,ENSG00000182473,0.000205825738599,0.000888642026045
790,DGKG,ENSG00000058866,ENSG00000058866,0.000205735208517,0.000888642026045
6036,DCTD,ENSG00000129187,ENSG00000129187,0.000205786170265,0.000888642026045
6341,PPT1,ENSG00000131238,ENSG00000131238,0.00020581618957,0.000888642026045
6081,DAD1,ENSG00000129562,ENSG00000129562,0.000205974430301,0.000889063328805
8528,ALDH1L1,ENSG00000144908,ENSG00000144908,0.000206202236524,0.000889825825933
15887,ZNF626,ENSG00000188171,ENSG00000188171,0.000207706087814,0.000896093104544
1570,ERC1,ENSG00000082805,ENSG00000082805,0.000207869898162,0.000896577455621
4157,ST8SIA4,ENSG00000113532,ENSG00000113532,0.000207971645874,0.000896793946452
12050,BSCL2,ENSG00000168000,ENSG00000168000,0.000209141332137,0.000901614243501
10956,TOPBP1,ENSG00000163781,ENSG00000163781,0.000210092837374,0.000905491800326
16945,CD3E,ENSG00000198851,ENSG00000198851,0.000210776406047,0.000908212926231
8709,MMS22L,ENSG00000146263,ENSG00000146263,0.000211519583788,0.000911189489843
8539,NICN1,ENSG00000145029,ENSG00000145029,0.000211852247824,0.000912396595913
12844,PTGER4,ENSG00000171522,ENSG00000171522,0.000211909474539,0.000912417155841
11308,KIAA1429,ENSG00000164944,ENSG00000164944,0.000212863146925,0.000916296570346
2030,WAC,ENSG00000095787,ENSG00000095787,0.000213330289039,0.000918080251815
6356,RBSN,ENSG00000131381,ENSG00000131381,0.000214121868269,0.000921258941019
