"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"hpa[rownames(res), ]"
"ENSG00000000003"	1538.02361858412	-0.0935225258791171	0.107731306329504	-0.868109086072641	0.385334617447482	0.999985311048489	"TSPAN6"
"ENSG00000000005"	1.52860235543471	-0.354049450069916	0.984718410562468	-0.359543851594777	0.719188279014427	0.999985311048489	"TNMD"
"ENSG00000000419"	331.975360187525	0.0338468303744796	0.0823699770249498	0.410912223081323	0.681136899364526	0.999985311048489	"DPM1"
"ENSG00000000457"	139.024351507892	-0.0319152251272178	0.109865796938505	-0.290492819572243	0.771439243223547	0.999985311048489	"SCYL3"
"ENSG00000000460"	26.9499601403656	0.627555859377673	0.450901371570373	1.39178077279308	0.163988794026757	0.999985311048489	"C1orf112"
"ENSG00000000938"	44.4475374092014	0.148380088904793	0.26381229144419	0.562445699904712	0.573812389903207	0.999985311048489	"FGR"
"ENSG00000000971"	23823.2998222787	-0.0173087014542247	0.145512880852509	-0.118949617056711	0.905315272044943	0.999985311048489	"CFH"
"ENSG00000001036"	517.371712729534	-0.132718944997107	0.0914387905233874	-1.45145123024305	0.146654253146071	0.999985311048489	"FUCA2"
"ENSG00000001084"	1758.91716409095	0.097572902267503	0.148187943697117	0.658440220122991	0.510255298140407	0.999985311048489	"GCLC"
"ENSG00000001167"	180.417034441933	-0.0145856604978613	0.0942637824288055	-0.154732391614748	0.877032292705279	0.999985311048489	"NFYA"
"ENSG00000001460"	13.6656171672543	0.22765524654657	0.282643715924941	0.805449524329868	0.42056032287179	0.999985311048489	"STPG1"
"ENSG00000001461"	117.925645017016	0.0920492228421717	0.102650720897901	0.896722614678233	0.369866950160401	0.999985311048489	"NIPAL3"
"ENSG00000001497"	180.485344996459	0.0364714474136101	0.0856518691025514	0.425810292241757	0.670246086634103	0.999985311048489	"LAS1L"
"ENSG00000001561"	302.917144312669	-0.067175356563123	0.105683022262934	-0.635630540504362	0.525017258759058	0.999985311048489	"ENPP4"
"ENSG00000001617"	94.1468913588305	0.290388477992109	0.197849561431333	1.46772363755223	0.142179307299215	0.999985311048489	"SEMA3F"
"ENSG00000001626"	79.404398042118	0.107350380330293	0.22141601903486	0.48483565370847	0.627792929477594	0.999985311048489	"CFTR"
"ENSG00000001629"	324.239690353311	0.0265759758585937	0.0901321586704644	0.294855645871737	0.768104155776177	0.999985311048489	"ANKIB1"
"ENSG00000001630"	846.924836847945	0.256880437719103	0.317185771281226	0.809873774228497	0.418012726173288	0.999985311048489	"CYP51A1"
"ENSG00000001631"	175.092714450081	-0.0273185173865369	0.202820009429265	-0.134693403591742	0.892854288833115	0.999985311048489	"KRIT1"
"ENSG00000002016"	53.043045028129	-0.103334754825668	0.187333725560879	-0.551607856600742	0.58121705244457	0.999985311048489	"RAD52"
"ENSG00000002330"	252.90211198054	0.0981727342086094	0.219620714088966	0.447010358817251	0.654867580588883	0.999985311048489	"BAD"
"ENSG00000002549"	1379.01124614308	0.0939899064635449	0.212462647099669	0.442383203572969	0.658211931339462	0.999985311048489	"LAP3"
"ENSG00000002586"	1277.9972528474	-0.0111055575511544	0.11824536905977	-0.0939195982004235	0.92517302553769	0.999985311048489	"CD99"
"ENSG00000002587"	17.9553370915149	-0.0556244506729554	0.311052830013799	-0.178826377083558	0.858074033201997	0.999985311048489	"HS3ST1"
"ENSG00000002726"	44.5312395467978	0.191625647752492	0.811994996819917	0.235993631122078	0.813437612246667	0.999985311048489	"AOC1"
"ENSG00000002745"	0.321737338156961	-1.22587806159368	1.95104159252965	-0.628319799171605	0.529794463935161	0.999985311048489	"WNT16"
"ENSG00000002746"	1.41124684241325	0.29344410400389	0.562436463812403	0.521737339031715	0.601853223221717	0.999985311048489	"HECW1"
"ENSG00000002822"	58.4849844878765	0.11016644800205	0.179289115560632	0.614462554838104	0.538909709885592	0.999985311048489	"MAD1L1"
"ENSG00000002834"	1420.69220086964	0.0867541371093638	0.073942083773014	1.17327146710769	0.240686960578901	0.999985311048489	"LASP1"
"ENSG00000002919"	126.609549459742	-0.0168605822242859	0.0934040350451562	-0.180512353841402	0.856750356736298	0.999985311048489	"SNX11"
"ENSG00000002933"	2688.15397287907	-0.169427515157823	0.259569284952802	-0.652725591892084	0.513933200732181	0.999985311048489	"TMEM176A"
"ENSG00000003056"	167.598267997478	0.342835797713235	0.471692142981734	0.726821090438455	0.467335561470868	0.999985311048489	"M6PR"
"ENSG00000003096"	27.3662072072714	-0.107414928633684	0.759088771035255	-0.141505094966943	0.887470935342769	0.999985311048489	"KLHL13"
"ENSG00000003137"	19.0754318928444	-0.118416309840316	0.358300562689153	-0.330494345170898	0.741026464719769	0.999985311048489	"CYP26B1"
"ENSG00000003147"	99.5396637599716	0.230376219068009	0.334938574242071	0.687816324498679	0.491568454738573	0.999985311048489	"ICA1"
"ENSG00000003249"	32.7890285141377	0.00413897755873752	0.231950178547595	0.0178442525229108	0.985763101962798	0.999985311048489	"DBNDD1"
"ENSG00000003393"	377.057190660419	-0.11383710535633	0.125002604134171	-0.910677870631746	0.362465127290807	0.999985311048489	"ALS2"
"ENSG00000003400"	162.131675489889	0.0575155670236715	0.118104516247499	0.4869887185613	0.626266325702136	0.999985311048489	"CASP10"
"ENSG00000003402"	392.892971250921	-0.0611482611863403	0.113232647874739	-0.540023238297706	0.589181006565206	0.999985311048489	"CFLAR"
"ENSG00000003436"	4385.66755675914	-0.0157218399276873	0.116658325588286	-0.134768263202862	0.892795099167693	0.999985311048489	"TFPI"
