"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"hpa[rownames(res), ]"
"ENSG00000000003"	1597.65031721579	-0.294957447111524	0.102979824833483	-2.86422556640067	0.00418030211496864	0.0222765662903671	"TSPAN6"
"ENSG00000000005"	1.5838740653271	0.0500508686862802	0.852232501746895	0.0587291244862014	0.95316786138261	0.978576854981485	"TNMD"
"ENSG00000000419"	397.049939905757	0.0036660069924714	0.0851668006787549	0.0430450241555909	0.965665643007633	0.984831234366284	"DPM1"
"ENSG00000000457"	167.675896025047	0.127979901262368	0.102963271341141	1.24296654132463	0.213880163228802	0.40059148518526	"SCYL3"
"ENSG00000000460"	43.288566630875	0.346549579034045	0.486413135034847	0.712459335641128	0.476180383818612	0.664456223890442	"C1orf112"
"ENSG00000000938"	54.7819808516701	0.0338470528974198	0.279812615338551	0.120963284148099	0.903720116599858	0.953793179355169	"FGR"
"ENSG00000000971"	28231.9474292184	0.0284413664383722	0.135757240666709	0.209501653824838	0.834056644466265	0.911849285996157	"CFH"
"ENSG00000001036"	708.902127892245	0.527502181685767	0.124588745129279	4.23394730509892	2.29624771581194e-05	0.000338570671310421	"FUCA2"
"ENSG00000001084"	1832.3737963551	-0.486165799529242	0.172243708541285	-2.82254605202438	0.0047643978863108	0.0245718379818504	"GCLC"
"ENSG00000001167"	204.052824392772	-0.0648087336026982	0.106751323503296	-0.607100047810621	0.543784518454597	0.721928105626724	"NFYA"
"ENSG00000001460"	25.2749874693272	0.905665589853955	0.229371574489049	3.94846480812379	7.86539757212396e-05	0.000899808463373086	"STPG1"
"ENSG00000001461"	171.482787585853	0.434228775678472	0.100686747085543	4.31267061701329	1.61294324095578e-05	0.000250727568923247	"NIPAL3"
"ENSG00000001497"	214.378715024467	0.0127887389246826	0.109967616782985	0.116295499518922	0.907418352275998	0.955508835301505	"LAS1L"
"ENSG00000001561"	375.24346539167	0.203274776836545	0.122190816447429	1.66358473366942	0.0961954447986891	0.234603428682013	"ENPP4"
"ENSG00000001617"	111.403933647728	-0.242530906915604	0.173422179655914	-1.3984999346497	0.161962992278168	0.335531958420362	"SEMA3F"
"ENSG00000001626"	580.250674699811	2.55162616240908	0.382783871924537	6.66597092918302	2.62921303077681e-11	3.55690859801242e-09	"CFTR"
"ENSG00000001629"	402.438759494005	0.122085480004713	0.105822293331642	1.15368393710863	0.248629771704938	0.441245931483273	"ANKIB1"
"ENSG00000001630"	866.971386489116	-0.721356149748778	0.276722684446744	-2.60678357898629	0.0091397107621144	0.0410702807546843	"CYP51A1"
"ENSG00000001631"	205.026852546783	0.00352477982243084	0.140771674936635	0.025038984753271	0.980023868010841	0.991628232796263	"KRIT1"
"ENSG00000002016"	61.0574977549035	-0.0689547578391013	0.169962287467216	-0.405706223813926	0.68495846870829	0.818210196656468	"RAD52"
"ENSG00000002330"	264.617509322078	-0.488115516409731	0.210304869441464	-2.3209900831402	0.0202873790775966	0.0757020246545686	"BAD"
"ENSG00000002549"	1718.10517515154	0.0688402667668745	0.157970598595864	0.435778982790262	0.662997094077507	0.804469761833906	"LAP3"
"ENSG00000002586"	1534.51962116749	0.0642622926313091	0.117387137191022	0.54743896281188	0.584077193303917	0.750986050639524	"CD99"
"ENSG00000002587"	43.3900913854652	1.63603022261676	0.285997751473754	5.72043036767336	1.06254567963846e-08	5.44185232681064e-07	"HS3ST1"
"ENSG00000002726"	34.3649495398375	-2.12766444905561	0.845318001056601	-2.51699886480135	0.0118359210521002	0.0499899016584242	"AOC1"
"ENSG00000002745"	0.384458429982039	1.17785477824523	1.09493706619564	1.07572829033698	0.282048791232307	NA	"WNT16"
"ENSG00000002746"	5.2412670273087	1.95327322265493	0.447475095959483	4.36509928774179	1.27065030581183e-05	0.000207093237934579	"HECW1"
"ENSG00000002822"	84.4893955109813	0.460711462718094	0.204576322875252	2.25202729349589	0.0243205472793641	0.0869948900948021	"MAD1L1"
"ENSG00000002834"	2060.76312964714	0.480589284968674	0.0754578223643353	6.36897898601195	1.90290675474138e-10	1.82809060717919e-08	"LASP1"
"ENSG00000002919"	159.586232296891	0.141052754176701	0.102745466030639	1.37283677446788	0.169803095555837	0.345571641968702	"SNX11"
"ENSG00000002933"	2818.61388933763	-0.18734582634993	0.332879440582072	-0.562803836795502	0.573568467386948	0.743744423631282	"TMEM176A"
"ENSG00000003056"	207.297648709012	-0.167051604713376	0.39886899239569	-0.418813214108294	0.675352646774498	0.812092551676637	"M6PR"
"ENSG00000003096"	29.6237200435963	-0.153924220779348	0.738767193871324	-0.208352810000599	0.834953499867163	0.91215042961191	"KLHL13"
"ENSG00000003137"	24.6780162865505	0.339193044168074	0.298952734052401	1.13460425522859	0.25654116944485	0.449673874411094	"CYP26B1"
"ENSG00000003147"	133.622505822547	0.173410268356344	0.279063109172332	0.621401620840025	0.534335405875692	0.713138814624154	"ICA1"
"ENSG00000003249"	61.2999077648249	1.15587508169414	0.23025282343904	5.02002565888257	5.16645778848518e-07	1.42187905008008e-05	"DBNDD1"
"ENSG00000003393"	417.38570258274	-0.0680619796898385	0.133661952180396	-0.509209828074176	0.610605154912297	0.770517249818757	"ALS2"
"ENSG00000003400"	199.537613155025	0.0777412244106966	0.105560841108627	0.736458933011888	0.461451450987021	0.652639867631333	"CASP10"
"ENSG00000003402"	489.539089963453	0.212898362235368	0.105553118448731	2.01697842152126	0.0436977652319915	0.133387277450802	"CFLAR"
"ENSG00000003436"	5188.66795306395	0.025855424850163	0.124462878189256	0.207736035244562	0.835435079347302	0.912311394848024	"TFPI"
