"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"hpa[rownames(res), ]"
"ENSG00000000003"	1584.95716562827	0.213506183941291	0.113993946768781	1.87296071408384	0.0610738101504413	0.88183976298019	"TSPAN6"
"ENSG00000000005"	1.6208226903992	0.427748696454272	0.812847811339015	0.526234665932895	0.59872517083908	0.999742950080762	"TNMD"
"ENSG00000000419"	348.520524251429	0.06257843404085	0.101735644824262	0.615108245973651	0.538483236755763	0.999742950080762	"DPM1"
"ENSG00000000457"	153.779559757573	0.0282260251776576	0.128128066922345	0.220295411112108	0.825641093787966	0.999742950080762	"SCYL3"
"ENSG00000000460"	22.8411688328291	0.00415308874227097	0.67798793186068	0.00612560865334751	0.995112501995657	0.999742950080762	"C1orf112"
"ENSG00000000938"	44.6837909597291	0.0674334380411578	0.309830730785864	0.21764606070585	0.827704893403812	0.999742950080762	"FGR"
"ENSG00000000971"	26175.1888265612	0.000844466025512004	0.136821517823019	0.00617202643961554	0.995075466660772	0.999742950080762	"CFH"
"ENSG00000001036"	598.83295260573	-0.0120889415003282	0.0984837994787544	-0.122750559628197	0.902304625774937	0.999742950080762	"FUCA2"
"ENSG00000001084"	1906.91652171795	-0.066952535308416	0.137601710235425	-0.486567610198057	0.626564781650866	0.999742950080762	"GCLC"
"ENSG00000001167"	186.960658021117	0.131999661774601	0.101416859569002	1.30155540543819	0.193068412709292	0.992474178071815	"NFYA"
"ENSG00000001460"	15.2438208553632	-0.167262598230574	0.194744969216662	-0.858880200620162	0.390406613980468	0.999742950080762	"STPG1"
"ENSG00000001461"	129.316724177586	-0.0711417793457859	0.104590662860051	-0.680192451222706	0.496382611496712	0.999742950080762	"NIPAL3"
"ENSG00000001497"	208.787060897549	-0.174492322620307	0.116353586211246	-1.49967292201469	0.1336991480318	0.954597006267992	"LAS1L"
"ENSG00000001561"	334.90395979087	0.0327703027604783	0.163630212590346	0.20027048942679	0.841269041018074	0.999742950080762	"ENPP4"
"ENSG00000001617"	88.6583976694976	0.078808356182319	0.147421853174937	0.534577164002965	0.592942278013789	0.999742950080762	"SEMA3F"
"ENSG00000001626"	79.1544479561717	0.119487611716348	0.250661110635626	0.476689867899139	0.633582978859996	0.999742950080762	"CFTR"
"ENSG00000001629"	346.531518830613	0.0277222485637597	0.109258528733688	0.253730751137344	0.799703575331392	0.999742950080762	"ANKIB1"
"ENSG00000001630"	1148.23518999585	-0.666790285714683	0.336381022990039	-1.9822470357801	0.0474515986854016	0.86670446826351	"CYP51A1"
"ENSG00000001631"	203.665781397556	-0.118967617266592	0.186709098522171	-0.637181681065561	0.524006508662521	0.999742950080762	"KRIT1"
"ENSG00000002016"	54.4366178601945	0.270856910064117	0.255562637245339	1.05984549613211	0.289214894959767	0.999742950080762	"RAD52"
"ENSG00000002330"	256.717445880431	0.0739930981490419	0.194538017991772	0.380352894066041	0.703683476717214	0.999742950080762	"BAD"
"ENSG00000002549"	1594.25857350703	-0.204718982985765	0.172805343050507	-1.18467970591587	0.236144109335127	0.999742950080762	"LAP3"
"ENSG00000002586"	1398.38241029761	0.00138484692613852	0.100871056379252	0.0137288829506437	0.989046280354605	0.999742950080762	"CD99"
"ENSG00000002587"	17.5551011414579	0.326347285400959	0.255989994061018	1.27484391176309	0.202364494686296	0.995806579970584	"HS3ST1"
"ENSG00000002726"	33.4892589895062	0.748528128452007	0.833682022480025	0.897858066106904	0.369261223248085	0.999742950080762	"AOC1"
"ENSG00000002745"	0.899364725189274	-0.699984111829937	0.935344583970857	-0.748370305260405	0.454236828585783	0.999742950080762	"WNT16"
"ENSG00000002746"	1.32766991002255	0.236796354307989	0.600580716258263	0.394278983486644	0.693375077938969	0.999742950080762	"HECW1"
"ENSG00000002822"	69.0563756381607	-0.232313102085629	0.177397809412972	-1.30956015102091	0.190344676522994	0.991826079447419	"MAD1L1"
"ENSG00000002834"	1612.26843882421	-0.15721159305572	0.102359195135423	-1.53588148917863	0.124567448870084	0.945344155323515	"LASP1"
"ENSG00000002919"	146.477963373873	-0.0933245925508123	0.07460740127046	-1.25087579732875	0.210979795268122	0.999742950080762	"SNX11"
"ENSG00000002933"	3250.45842864012	-0.0901928491777286	0.258490176740171	-0.348921766835219	0.727148043372064	0.999742950080762	"TMEM176A"
"ENSG00000003056"	160.449390589742	-0.00920495944669426	0.362034904593342	-0.0254256131933847	0.979715481335359	0.999742950080762	"M6PR"
"ENSG00000003096"	31.6912130408481	-0.0325516237768725	0.649132413646513	-0.0501463539526753	0.960005761066899	0.999742950080762	"KLHL13"
"ENSG00000003137"	23.4397133100032	-0.14639824687591	0.346565114955141	-0.422426379801265	0.672713826361172	0.999742950080762	"CYP26B1"
"ENSG00000003147"	112.378334303298	-0.276784128345169	0.30148135899723	-0.918080405587238	0.358576772356559	0.999742950080762	"ICA1"
"ENSG00000003249"	26.612238002421	0.754030341757637	0.246295845675751	3.06148217680585	0.00220244103828863	0.593194951216389	"DBNDD1"
"ENSG00000003393"	440.784143448309	-0.0586651658601175	0.116327794561767	-0.504309104123588	0.614044180818939	0.999742950080762	"ALS2"
"ENSG00000003400"	166.127469890576	0.123618951856074	0.121586421985259	1.01671675042022	0.309288194959794	0.999742950080762	"CASP10"
"ENSG00000003402"	437.508985218494	0.0120786529044091	0.0903661508494925	0.13366346569886	0.893668696010639	0.999742950080762	"CFLAR"
"ENSG00000003436"	4949.34349203233	-0.0623825264848781	0.118771381693937	-0.525231967458559	0.599421944744642	0.999742950080762	"TFPI"
